股票代码,会计年度,行业代码,信息含量
000001,2020.0,J66,-0.14405397764960462
000002,2020.0,K70,-0.26129151406084195
000004,2020.0,I65,-0.26375634020591826
000005,2020.0,N77,-0.23944494867126653
000006,2020.0,K70,-0.22831557836866423
000007,2020.0,K70,-0.25804027501190685
000008,2020.0,C37,-0.17414820106626736
000010,2020.0,E48,-0.2564136711431294
000011,2020.0,K70,-0.16960415761146713
000012,2020.0,C30,-0.14866088904580285
000014,2020.0,K70,-0.2067536104510476
000016,2020.0,C39,-0.167701987578458
000017,2020.0,C37,-0.24763330062840083
000019,2020.0,F51,-0.21215812489138097
000020,2020.0,C39,-0.3580933791151665
000021,2020.0,C39,-0.2016028491276892
000023,2020.0,C30,-0.27321672710288714
000025,2020.0,F51,-0.2301710500764201
000026,2020.0,F52,-0.2883602347303974
000027,2020.0,D44,-0.2865609798576449
000028,2020.0,F51,-0.2134036776017129
000029,2020.0,K70,-0.28454357104594463
000030,2020.0,C36,-0.13978572917968035
000031,2020.0,K70,-0.28117074138366505
000032,2020.0,F51,-0.2871952529138382
000034,2020.0,F51,-0.3164201324066536
000035,2020.0,N77,-0.21748379186445915
000036,2020.0,K70,-0.34532062439406186
000037,2020.0,D44,-0.3003220163063778
000038,2020.0,L72,-0.3730551478574418
000039,2020.0,C33,-0.33768565813522666
000040,2020.0,D44,-0.292811410911583
000042,2020.0,K70,-0.2926693035918294
000045,2020.0,C39,-0.20634349581318712
000046,2020.0,J69,-0.23349028709914793
000048,2020.0,C13,-0.16834112785638522
000049,2020.0,C38,-0.2963292538211182
000050,2020.0,C39,-0.30111928162137885
000055,2020.0,C33,-0.14078179031428326
000056,2020.0,L72,-0.263845825100969
000058,2020.0,L72,-0.30569988608795695
000060,2020.0,C32,-0.23112505924937488
000061,2020.0,L72,-0.3262428963596309
000062,2020.0,F51,-0.1643602589489317
000063,2020.0,C39,-0.23736101488305877
000065,2020.0,E48,-0.23992018016606217
000066,2020.0,C39,-0.19170456360999397
000068,2020.0,M74,-0.32009233891091743
000069,2020.0,K70,-0.2630526693008546
000070,2020.0,C38,-0.1661575595194809
000078,2020.0,F52,-0.25638757140692836
000088,2020.0,G54,-0.20690943148442842
000090,2020.0,E48,-0.25435973642174203
000096,2020.0,F51,-0.2621252422218379
000100,2020.0,C39,-0.37792355613104855
000151,2020.0,F51,-0.3219920564984072
000153,2020.0,C27,-0.27858441709067105
000155,2020.0,D44,-0.27002628436363446
000156,2020.0,R86,-0.2441972535712524
000157,2020.0,C35,-0.34895433912356666
000158,2020.0,I65,-0.26142598025826064
000159,2020.0,F51,-0.3584093886555519
000166,2020.0,J67,-0.2913617935447071
000301,2020.0,C28,-0.26537084336490024
000333,2020.0,C38,-0.3217832517516715
000338,2020.0,C36,-0.28784427456834344
000400,2020.0,C38,-0.12487600106561322
000401,2020.0,C30,-0.1423761620300163
000402,2020.0,K70,-0.30512587426948995
000403,2020.0,C27,-0.3116411464614788
000404,2020.0,C34,-0.260212417377777
