word,Vision,Motor,Socialness,Emotion,Emotion_abs+1,Time,Space
施肥,4.133333333,3.666666667,1.5,0.666666667,1.666666667,1.8,3
走,3.2,5.366666667,1.2,0.233333333,1.233333333,2.066666667,4.966666667
房间,4.4,2.4,1.466666667,0.233333333,1.233333333,1.066666667,6.633333333
眼泪,5.233333333,5.233333333,1.266666667,-3.333333333,4.333333333,1.233333333,1.533333333
亲戚,3.433333333,1.966666667,6.1,1.266666667,2.266666667,1.1,1.266666667
内容,1.233333333,1.2,1.266666667,0.133333333,1.133333333,1.033333333,1.333333333
同学,3.5,2.333333333,6.2,1.366666667,2.366666667,1.533333333,1.3
寻找,1.666666667,3.466666667,3.233333333,-0.9,1.9,2.1,4.7
衣服,4.866666667,4.6,1.233333333,0.366666667,1.366666667,1.066666667,1.7
退休,2.2,2.333333333,3.466666667,1.133333333,2.133333333,4.933333333,1.3
安慰,2.3,3.8,5.9,1.566666667,2.566666667,1.366666667,1.266666667
增强,1.266666667,1.533333333,1.766666667,2.033333333,3.033333333,1.333333333,1.3
专家,3.3,2.033333333,4.266666667,0.933333333,1.933333333,1.333333333,1.4
死,3.2,4.666666667,1.533333333,-5.333333333,6.333333333,3.866666667,1.4
电影,4.533333333,3.2,3.8,1.5,2.5,2.433333333,2.533333333
拒绝,2.266666667,4.1,5.5,-2.966666667,3.966666667,1.133333333,1.266666667
影响,1.4,1.6,4.233333333,-0.066666667,1.066666667,1.533333333,1.133333333
撒娇,3.166666667,4.533333333,5.4,2.033333333,3.033333333,1.133333333,1.466666667
朋友,3.1,2.566666667,6.233333333,3.066666667,4.066666667,1.1,1.333333333
害怕,2.1,3.966666667,1.766666667,-3.666666667,4.666666667,1.1,1.1
吃,3.2,5.366666667,1.266666667,1.7,2.7,1.5,1.833333333
蔬菜,5.266666667,3.133333333,1.066666667,0.666666667,1.666666667,1.033333333,1.5
强迫,1.866666667,2.5,5,-3.433333333,4.433333333,1.133333333,1.166666667
结婚,4.066666667,4.433333333,6.5,4,5,2.766666667,2.3
黑,4.233333333,2.433333333,1.033333333,-0.866666667,1.866666667,1.1,1.333333333
反省,1.733333333,2.033333333,1.766666667,-1.333333333,2.333333333,1.566666667,1.333333333
参加,1.666666667,1.966666667,5.166666667,0.566666667,1.566666667,1.8,2.6
拥挤,3.5,3.366666667,6.033333333,-2.466666667,3.466666667,1.366666667,5.3
声音,1.866666667,2.1,1.566666667,0.233333333,1.233333333,1.166666667,1.5
切,2.333333333,4.533333333,1.233333333,-0.333333333,1.333333333,1.1,2.133333333
题材,1.6,1.233333333,1.2,0.133333333,1.133333333,1.033333333,1.133333333
邀请,2.166666667,2.7,5.766666667,1.333333333,2.333333333,1.666666667,2.2
旅行,3.566666667,3.033333333,3.6,2.866666667,3.866666667,3.066666667,6.566666667
刻板,2.1,1.6,2.066666667,-2.266666667,3.266666667,1.2,1.233333333
计划,1.566666667,1.633333333,1.666666667,0.3,1.3,3.133333333,1.5
频率,1.633333333,1.266666667,1.033333333,0.066666667,1.066666667,4.6,1.3
音乐,2.9,3.333333333,1.666666667,2.233333333,3.233333333,1.6,1.7
开始,1.5,1.666666667,1.166666667,0.266666667,1.266666667,4.566666667,1.366666667
叫,2.366666667,4.1,1.333333333,-0.7,1.7,1.133333333,1.566666667
安全,1.833333333,1.7,1.9,3.133333333,4.133333333,1.033333333,1.533333333
水,5.966666667,3.5,1.133333333,0.233333333,1.233333333,1.033333333,2.633333333
认真,2.2,2.266666667,1.366666667,2.4,3.4,1.3,1.166666667
高兴,2.7,4.466666667,1.766666667,5.033333333,6.033333333,1.266666667,1.266666667
解决,1.6,1.733333333,2.733333333,2.2,3.2,1.766666667,1.366666667
手套,6.166666667,4.166666667,1.133333333,0.133333333,1.133333333,1.066666667,1.933333333
注意,1.5,1.833333333,2.233333333,0.133333333,1.133333333,1.666666667,1.3
紧张,2.333333333,3.6,1.6,-2.4,3.4,1.3,1.233333333
茂盛,3.1,2.266666667,1.166666667,2,3,1.466666667,2.766666667
耐心,1.7,1.8,2.5,2.2,3.2,3.066666667,1.133333333
教育,2.166666667,2.6,5.566666667,1.466666667,2.466666667,1.933333333,1.533333333
喜欢,1.9,2.666666667,4.033333333,4.7,5.7,1.466666667,1.2
学生,3.966666667,2.766666667,5.366666667,0.533333333,1.533333333,1.366666667,1.6
原谅,1.8,1.966666667,5.666666667,0.566666667,1.566666667,1.433333333,1.2
角落,3.366666667,2.466666667,1.233333333,-0.7,1.7,1.066666667,5.9
赔偿,2.233333333,2.333333333,5.633333333,-1.166666667,2.166666667,1.4,1.4
留学,2.766666667,2.366666667,5.033333333,0.933333333,1.933333333,3.033333333,3.733333333
愤怒,2.6,4.666666667,2.966666667,-4.5,5.5,1.366666667,1.2
鼓励,2.5,3.6,5.466666667,3.566666667,4.566666667,1.233333333,1.5
背,3.2,4.333333333,2.233333333,0,1,1.133333333,2.766666667
折扣,1.966666667,2.033333333,2.766666667,1.666666667,2.666666667,1.833333333,1.3
请求,1.933333333,2.8,5.666666667,-0.5,1.5,1.4,1.266666667
解释,1.766666667,2.333333333,5.433333333,0,1,1.5,1.233333333
看,2.233333333,3.8,2,0.166666667,1.166666667,1.733333333,2.266666667
展览,4.433333333,3.066666667,4.833333333,1,2,2.466666667,5
针线,5.533333333,4.433333333,1.066666667,0.066666667,1.066666667,1.033333333,1.833333333
简单,1.4,1.5,1.1,1,2,1.166666667,1.2
照片,5.066666667,3.566666667,2.233333333,0.266666667,1.266666667,1.5,1.9
温度,2.4,1.7,1.033333333,0.266666667,1.266666667,1.566666667,1.266666667
生长,1.966666667,2.566666667,1.433333333,1.5,2.5,4.533333333,2.6
说,2.2,3.766666667,2.666666667,0.066666667,1.066666667,1.433333333,1.233333333
瘦,3.2,3.4,1.133333333,0.1,1.1,1.066666667,2.033333333
地面,4.066666667,3.433333333,1,-0.033333333,1.033333333,1.033333333,5.366666667
成员,2.566666667,1.8,5.366666667,0.2,1.2,1.1,1.3
成,1.166666667,1.133333333,1.266666667,0.566666667,1.566666667,1.333333333,1.033333333
微信,5.333333333,3.266666667,5.666666667,0.033333333,1.033333333,1.566666667,1.433333333
带给,1.5,1.833333333,4,0.433333333,1.433333333,1.366666667,2.033333333
花露水,6.133333333,3.4,1.1,0.233333333,1.233333333,1.2,1.533333333
享受,1.8,2.2,2.033333333,3.933333333,4.933333333,1.7,1.233333333
兔子,6.533333333,4.9,1.233333333,0.666666667,1.666666667,1.066666667,2.033333333
几个,1.466666667,1.366666667,1.766666667,-0.2,1.2,1.366666667,1.233333333
前女友,3.033333333,2.133333333,5.533333333,-1.966666667,2.966666667,2.866666667,1.366666667
赶紧,1.566666667,1.7,1.466666667,-0.766666667,1.766666667,4.133333333,1.166666667
天,3.066666667,2.9,1.2,0.233333333,1.233333333,3.266666667,3.7
国企,3.933333333,1.966666667,5.333333333,0.3,1.3,1.1,2.066666667
总是,1.366666667,1.233333333,1.133333333,-0.466666667,1.466666667,3.2,1.133333333
难,1.366666667,1.466666667,1.2,-2.5,3.5,1.1,1.133333333
未,1.2,1.066666667,1.166666667,-0.533333333,1.533333333,2.5,1.033333333
谢绝,1.966666667,2.7,4.633333333,-1.4,2.4,1.1,1.266666667
半夜里,3.1,1.7,1.033333333,-0.733333333,1.733333333,6.333333333,1.366666667
炒作,2.2,2.266666667,4.8,-2.166666667,3.166666667,1.4,1.2
当天,1.533333333,1.266666667,1.1,0.066666667,1.066666667,6.5,1.166666667
组织,2.233333333,1.966666667,5.8,0.266666667,1.266666667,1.3,2.133333333
耳塞,5.933333333,5.033333333,1.266666667,-0.466666667,1.466666667,1.133333333,2.333333333
逐渐,1.266666667,1.233333333,1.2,-0.1,1.1,4.766666667,1.166666667
教师,4.3,3.266666667,5.766666667,1.1,2.1,1.166666667,1.7
吃完,2.366666667,2.7,1.2,0.3,1.3,2.8,1.466666667
使用,1.5,1.8,1.366666667,0.166666667,1.166666667,1.633333333,1.2
提议,1.766666667,2.3,4.866666667,0.5,1.5,1.433333333,1.266666667
接水,3.666666667,4.133333333,1.6,0.166666667,1.166666667,1.2,2.566666667
特别,1.233333333,1.066666667,1.666666667,0.933333333,1.933333333,1.133333333,1.033333333
对,1.166666667,1.9,1.333333333,1.733333333,2.733333333,1.1,1.333333333
来,1.433333333,1.966666667,1.5,0.3,1.3,1.433333333,2.8
网店,3.9,2.333333333,4.566666667,0.033333333,1.033333333,1.466666667,2.5
防止,1.533333333,1.5,1.733333333,-0.233333333,1.233333333,1.2,1.166666667
短袖,5.6,4.333333333,1.1,0.033333333,1.033333333,1.633333333,1.7
生机,2.1,1.466666667,1.166666667,2.733333333,3.733333333,1.933333333,1.333333333
第二,1.766666667,2.6,3.166666667,-0.3,1.3,2,1.133333333
避开,2.1,2.866666667,3.7,-0.5,1.5,1.433333333,3.6
婉拒,2.1,3.033333333,5.233333333,-1.433333333,2.433333333,1.266666667,1.3
市里,3.333333333,1.633333333,3.633333333,0.233333333,1.233333333,1.033333333,5.233333333
不亮,2.966666667,1.5,1.066666667,-1.4,2.4,1.466666667,1.366666667
十分,1.366666667,1.233333333,1.166666667,0.666666667,1.666666667,1.733333333,1.1
激烈,2.066666667,1.866666667,2.666666667,0.033333333,1.033333333,1.233333333,1.4
既,1.233333333,1,1.3,0.033333333,1.033333333,1.466666667,1.033333333
早晨,3.633333333,2.066666667,1.066666667,1.133333333,2.133333333,6.333333333,1.566666667
剪短,2.833333333,3.8,1.933333333,-0.033333333,1.033333333,1.1,2.033333333
