Word,Certainty,NumWords,NumCharacters
100 percent,7.88,2,11
a bit worried,2.83,3,13
a clearly,7.71,2,9
a commitment,7.23,2,12
a conviction,6.97,2,12
a focus on,6.64,3,10
a guarantee,8.15,2,11
a little confused,2.47,3,17
a little confusing,2.43,3,18
a lot,6.2,2,5
a matter of fact,7.6,4,16
a no,7.07,2,4
a potential,5.74,2,11
abide by,6.24,2,8
able to achieve,6.27,3,15
above all,6.85,2,9
absolute,8.1,1,8
absolutely,8.67,1,10
absolutely necessary,7.77,2,20
absolutely not,7.17,2,14
absolutely sure,8.16,2,15
absolutist,8.25,1,10
accepted as,7.12,2,11
accepted that,7.21,2,13
accomplished by,7.1,2,15
accordance with,6.12,2,15
accountable,7.17,1,11
accounted,7.21,1,9
accounted for,6.48,2,13
accounts,5.85,1,8
accumulated,6.17,1,11
accuracy,7.64,1,8
accurate information,7.58,2,20
accusations,4.23,1,11
achievable,6.83,1,10
acknowledged,7.16,1,12
actual fact,7.61,2,11
actually being,7.07,2,14
actually going,6.83,2,14
actually happening,8.2,2,18
actually has,7,2,12
actually means,7.23,2,14
adamantly,8.07,1,9
addressed in the,6.23,3,16
adequately,6.21,1,10
adhered to,6.74,2,10
administration has,6.23,2,18
administration is,7.04,2,17
admitting,7.27,1,9
affairs,5.28,1,7
affects,5.73,1,7
affirm,7.18,1,6
affirmative,8.12,1,11
affirming,8.18,1,9
afforded,6.5,1,8
aforementioned,6.73,1,14
agreed,8,1,6
agreed on,7.64,2,9
agreed to,6.58,2,9
agreed with,6.92,2,11
agreement,7.36,1,9
agreement was,6.67,2,13
agrees,7.79,1,6
agrees to,7.37,2,9
aim is to,6.83,3,9
aligned with,6.67,2,12
aligned with the,6.53,3,16
all cases,7.16,2,9
all i know,5.52,3,10
all i know is,5.19,4,13
all individuals,7.47,2,15
all intents and purposes,7.27,4,24
all is,6.44,2,6
all issues,6.47,2,10
all it is,6.57,3,9
all kinds of,4.94,3,12
all likelihood,7.33,2,14
all set,7.72,2,7
all things considered,6.12,3,21
alleged to,5.43,2,10
allowed the,7.07,2,11
allowed to be,5.81,3,13
almost certainly,7.76,2,16
almost definitely,6.62,2,17
already been said,6.36,3,17
already completed,7.42,2,17
already dead,7.5,2,12
already did,7.79,2,11
already known,7.88,2,13
already lost,4.93,2,12
also appears,5.43,2,12
also become,5.81,2,11
also believe,5.83,2,12
also confirmed,8,2,14
also found,6.47,2,10
also likely,5.44,2,11
also received,7,2,13
also seems to,6.21,3,13
alternatives and,3.68,2,16
although they are,4.52,3,17
always been,7.27,2,11
always been a,7.88,3,13
always seen,8.13,2,11
always used,7.3,2,11
am aware,6.52,2,8
am certain,8,2,10
am confident,8.16,2,12
am convinced,7.63,2,12
am going to,6.48,3,11
am i right,3.96,3,10
am pleased,7.2,2,10
am referring,5.9,2,12
am sure,7.96,2,7
am sure the,7.69,3,11
am very,7.17,2,7
ambiguity,2.52,1,9
an absolute,8.23,2,11
an agreement,7.5,2,12
an entirely,7.17,2,11
an increasingly,6.67,2,15
an indication,6.15,2,13
an indication of,6.69,3,16
analyses,6.36,1,8
analysis,6,1,8
and a sense,5.11,3,11
and absolutely,8.37,2,14
and according to,5.8,3,16
and affirmed,8,2,12
and appears,4.64,2,11
and are,6.85,2,7
and are now,6.87,3,11
and around,5.22,2,10
and assuming,4.48,2,12
and attempted to,5.27,3,16
and believe that,6.04,3,16
and caused,6.31,2,10
and decided,6.97,2,11
and determine,5.56,2,13
and died,7.46,2,8
and especially,6.74,2,14
and established,7.84,2,15
and expected,6.96,2,12
and expects,4.76,2,11
and feel that,5.27,3,13
and fully,7.24,2,9
and guaranteed,8.3,2,14
and i am sure,8.08,4,13
and i believe,5.96,3,13
and i really,6.19,3,12
and i'm going,6.45,3,13
and i'm not,5.81,3,11
and indicating,6.5,2,14
and insisted,7.26,2,12
and is,6.79,2,6
and is able,6.77,3,11
and is able to,6.87,4,14
and is currently,6.7,3,16
and is likely,5.31,3,13
and is still,7.14,3,12
and is therefore,6.87,3,16
and is very,6.48,3,11
and it appears,5.62,3,14
and it is,7.54,3,9
and it is the,6.83,4,13
and it isn't,6.32,3,12
and it seems,4.67,3,12
and it wasn't,6.45,3,13
and make sure that,6.74,4,18
and needs to,5.68,3,12
and neither is,5.4,3,14
and not to,5.68,3,10
and notes,6.13,2,9
and obviously,7.33,2,13
and of course,7.12,3,13
and provides,6.12,2,12
and required,6.79,2,12
and said that,6.44,3,13
and seems to,4.8,3,12
and shows that,6.56,3,14
and suggest,4.42,2,11
and supports,6.17,2,12
and that is,7.21,3,11
and that is what,6.48,4,16
and that is why,7.16,4,15
and that means,6.66,3,14
and that was,6.53,3,12
and that will,6.93,3,13
and there are,7.5,3,13
and there was,6.73,3,13
and thereby,6.24,2,11
and they are,6.32,3,12
and think that,5.06,3,14
and thinks,4.61,2,10
and this has,6.33,3,12
and this is something,6.07,4,21
and this is what,6.27,4,16
and this is why,6.43,4,15
and totally,7.8,2,11
and uncertainty,2.4,2,15
and verified,8.27,2,12
and which is,6.52,3,12
annually,7.29,1,8
answer is yes,8.7,3,13
anticipate,5.21,1,10
anticipated,5.6,1,11
any proof,4.79,2,9
anyone know,3.77,2,11
apologise,6.64,1,9
apparent that,6.83,2,13
apparently,4.36,1,10
apparently been,4.83,2,15
appear as,5.25,2,9
appear to be,4.67,3,12
appeared as,5.44,2,11
appears to,5.33,2,10
appears to be,5.8,3,13
appears to be the,4.97,4,17
appears to have been,5.58,4,20
applies to,6.55,2,10
apprehensive,2.46,1,12
apprehensive about,3.61,2,18
approached,6,1,10
approaches,5.46,1,10
appropriately,6.48,1,13
approve,7.7,1,7
approved,8.15,1,8
approved by,7.06,2,11
approves,7.37,1,8
approximated,4.8,1,12
approximately,4.38,1,13
arbitrarily,3.85,1,11
are a number,5.42,3,12
are able to,7.13,3,11
are absolutely,8.26,2,14
are actually,7.59,2,12
are all,7.71,2,7
are allowed to,6.53,3,14
are always,8.07,2,10
are among,6.79,2,9
are apparently,6.24,2,14
are asking,4.97,2,10
are aware of the,6.2,4,16
are aware that,6.87,3,14
are basically,5.47,2,13
are becoming,6.83,2,12
are better,6.36,2,10
are bound to,6.96,3,12
are but,4.33,2,7
are capable,7.52,2,11
are certain,7.81,2,11
are claiming,5.08,2,12
are clear,7.52,2,9
are committed,7.63,2,13
are completely,8.13,2,14
are confident,7.93,2,13
are confirmed,8.19,2,13
are considerably,6.21,2,16
are consistently,7.63,2,16
are contributing,5.76,2,16
are convinced,7.68,2,13
are correct,7.33,2,11
are dangerous,6.2,2,13
are deemed,6.41,2,10
are deeply,6.32,2,10
are defined,7.92,2,11
are definitely,8.24,2,14
are dependent on,6.65,3,16
are determined,7.58,2,14
are either,3.36,2,10
are engaged,7.29,2,11
are entirely,7.8,2,12
are entitled to,7.12,3,15
are established,8.21,2,15
are expected to be,6.36,4,18
are experiencing,6.28,2,16
are explicitly,7.6,2,14
are extremely,7.77,2,13
are following,6.41,2,13
are fully,7.88,2,9
are generally,5.17,2,13
are gonna,5.85,2,9
are gonna be,6.27,3,12
are great,7.38,2,9
are guaranteed,8,2,14
are immediately,7.4,2,15
are implemented,7.65,2,15
are in fact,7.83,3,11
are in place,6.45,3,12
are inconsistent,4.09,2,16
are increasingly,6.82,2,16
are indeed,8,2,10
are influenced,5.88,2,14
are injured,6.55,2,11
are intended to,6.21,3,15
are involved,6.86,2,12
are just as,5.97,3,11
are likely to,4.69,3,13
are likely to be,5.36,4,16
are listed,7.21,2,10
are looking for,4.63,3,15
are most,6.57,2,8
are needed,7.13,2,10
are never,7.36,2,9
are not,7.5,2,7
are not able,5.84,3,12
are not able to,6.48,4,15
are not allowed,7.33,3,15
are not allowed to,5.91,4,18
are not always,4,3,14
are not available,6.14,3,17
are not required,6.07,3,16
are not so,6.24,3,10
are not yet,5.55,3,11
are now being,7.14,3,13
are often,6.44,2,9
are often the,5.47,3,13
are only,6.44,2,8
are organized,7.29,2,13
are particularly,6.5,2,16
are perfectly,7.3,2,13
are positive,7.33,2,12
are possible,4.57,2,12
are probably,4.46,2,12
are probably the,4.42,3,16
are problems,5.79,2,12
are proposing,5.79,2,13
are providing,7.23,2,13
are real,7.85,2,8
are required,7.63,2,12
are required to,6.92,3,15
are responsible,7.44,2,15
are roughly,3.76,2,11
are safe,7,2,8
are scheduled,6.28,2,13
are showing,5.7,2,11
are shown,7.16,2,9
are similar to,6,3,14
are specifically,7.59,2,16
are supported,6.34,2,13
are supported by,7,3,16
are sure,8.07,2,8
are surely,7,2,10
are therefore,6.96,2,13
are totally,7.65,2,11
are truly,6.81,2,9
are typically,6,2,13
are unknown,2.72,2,11
are unlikely,4.4,2,12
are very much,6.96,3,13
are well aware,7.13,3,14
are willing,6.13,2,11
are witnessing,6.83,2,14
arguably,4.83,1,8
argue that,4.6,2,10
argues that,4.56,2,11
argument against,5.16,2,16
argument to,5.57,2,11
arguments to,6.38,2,12
articulating,6.73,1,12
as defined,7.13,2,10
as has been,6.38,3,11
as is the case,7.24,4,14
as it is,5.92,3,8
as specified,7.92,2,12
as stated in the,7.63,4,16
as suggested,5.79,2,12
as supporting,6.6,2,13
as there is,6.4,3,11
as they are,6.86,3,11
as well as,5.93,3,10
ascertain,5.21,1,9
asks,3.34,1,4
asserted,7.08,1,8
asserting that,5.96,2,14
assigned to,6.89,2,11
assisted,6.57,1,8
assumed,5.57,1,7
assumes,3.75,1,7
assumption is,4.52,2,13
assumptions,4.04,1,11
assurance that,6.93,2,14
assuredly,7.75,1,9
assures,7.87,1,7
at any given time,5.43,4,17
at exactly,8.2,2,10
attacks,6.21,1,7
attained,7.03,1,8
attempts at,4.48,2,11
attended,7,1,8
available are,5.71,2,13
available is,6.8,2,12
aware of,6.13,2,8
aware that,5.57,2,10
awfully,4.96,1,7
baffled,3.03,1,7
based solely,6.5,2,12
basic facts,7.24,2,11
be accomplished,6.7,2,15
be achieved,6.1,2,11
be admitted,6.97,2,11
be affected by,5.69,3,14
be appointed,6.83,2,12
be argued,5.34,2,9
be argued that,5.33,3,14
be assumed,4.97,2,10
be assumed that,5.27,3,15
be believed,5.57,2,11
be changed,5.42,2,10
be considered,5.57,2,13
be controlled,6.81,2,13
be dealt with,7.34,3,13
be detected,5.73,2,11
be determined by,6.33,3,16
be discussed,4.47,2,12
be executed,7.13,2,11
be expected,6.2,2,11
be expected to,5.59,3,14
be finished,7.38,2,11
be given,6.82,2,8
be guaranteed,7.39,2,13
be helped,6.47,2,9
be informed,6.64,2,11
be interpreted,5.7,2,14
be killed,7.32,2,9
be known,6.88,2,8
be left,4.92,2,7
be met,5.93,2,6
be noted,5.6,2,8
be organized,6.6,2,12
be perceived,5.63,2,12
be perceived as,5.43,3,15
be pointed out,6.7,3,14
be possible,5.53,2,11
be proven,7.29,2,9
be receiving,6.15,2,12
be regarded as,6.12,3,14
be regulated,6.54,2,12
be reported,6.55,2,11
be required,7,2,11
be searched,5.67,2,11
be studied,4.77,2,10
be subjected to,6.48,3,15
be sufficient,7.34,2,13
be sure,7.45,2,7
be taking,6.54,2,9
be tested,5.83,2,9
be told,6.07,2,7
be trusted,7.28,2,10
be understood,6.31,2,13
be valued,6.33,2,9
be verified,7.21,2,11
be viewed,5.68,2,9
bearing in mind,5.5,3,15
became clear,7.33,2,12
became clear that,7.4,3,17
because i,5.81,2,9
because i do,7.41,3,12
because i'm not,6.54,3,15
because it,6.67,2,10
because it was,6.76,3,14
because of its,6.53,3,14
become clear,6.84,2,12
become increasingly,6.16,2,19
becoming more and,6.32,3,17
been able to,6.27,3,12
been addressed,6.46,2,14
been allowed,6.48,2,12
been cancelled,7,2,14
been committed,7.48,2,14
been confirmed,8.54,2,14
been decided,7.53,2,12
been declared,7.52,2,13
been delivered,7.83,2,14
been determined,7.73,2,15
been discovered,6.75,2,15
been doing,5.67,2,10
been established,7.8,2,16
been found,7.07,2,10
been good,6.76,2,9
been identified,7.27,2,15
been identified as,6.96,3,18
been increasing,5.81,2,15
been known,6.59,2,10
been looking,5.15,2,12
been observed,6.24,2,13
been particularly,5.71,2,17
been performed,7.31,2,14
been possible,5.41,2,13
been reached,7.93,2,12
been released,7.24,2,13
been removed,7.37,2,12
been repeatedly,6.63,2,15
been reported,6.15,2,13
been resolved,7.77,2,13
been said,5.48,2,9
been set up,7.08,3,11
been so,5.96,2,7
been stated,6.63,2,11
been successful,6.73,2,15
been successfully,7.76,2,17
been suggested,4.32,2,14
been thinking about it,4.16,4,22
been totally,7.26,2,12
been unable,5,2,11
been verified,8.31,2,13
been waiting for,5.04,3,16
been warned,5.72,2,11
been wrong,5.96,2,10
beginning with,5.89,2,14
being addressed,6.19,2,15
being aware,6.38,2,11
being investigated,5.87,2,18
being promoted,6.83,2,14
belief,6.36,1,6
belief that the,5.93,3,15
believe,6.18,1,7
believe are,4.58,2,11
believe is,6.33,2,10
believe it is,5.7,3,13
believe that,5.07,2,12
believe that a,4.72,3,14
believe that it is,5.57,4,18
believe that the,4.83,3,16
believe this is,5.26,3,15
believe to be,5.68,3,13
believe you,6.56,2,11
believed in,6.33,2,11
believed that,6.1,2,13
believed that the,6.04,3,17
believes in,6.4,2,11
believes in the,6.21,3,15
believes it,7.53,2,11
believes that,5.65,2,13
believing,6.26,1,9
believing that,6.54,2,14
benefit from,6.52,2,12
best and brightest,6.81,3,18
best guess,3.7,2,10
best of all,7.27,3,11
betrays,5.47,1,7
better chance,4.94,2,13
better job of,6.2,3,13
beyond any doubt,8.81,3,16
blocking,6.73,1,8
both are,7.63,2,8
bounded,6.62,1,7
but he is,6.2,3,9
but i believe,6.46,3,13
but i don't know,1.34,4,16
but i'm not,4.71,3,11
but is,5.3,2,6
but isn't,5.1,2,9
but it has to,5.81,4,13
but it is also,5.6,4,14
but it seems,4.33,3,12
but the fact is,7.83,4,15
but the truth is,7.77,4,16
but there are,5.73,3,13
but there is,5.63,3,12
but there is also,4.92,4,17
but there is still,6.34,4,18
but this isn't,5.41,3,14
but you are,6.63,3,11
calculations are,7.03,2,16
called off,7.17,2,10
can be,4.41,2,6
can be accessed,6.47,3,15
can be considered,5.8,3,17
can be expected,6.4,3,15
can be obtained,7.36,3,15
can be taken,6.4,3,12
can certainly,7.33,2,13
can know,6.43,2,8
can no longer be,7.77,4,16
can not,6.23,2,7
can not be,6.13,3,10
can only be,7.35,3,11
can't be,5.81,2,8
can't be done,6.8,3,13
can't change,7.66,2,12
captures,6.92,1,8
carefully,6.8,1,9
case that,6.63,2,9
categorized as,5.81,2,14
caused,7.29,1,6
causing,6.39,1,7
caution,3.36,1,7
ceased,6.08,1,6
ceased to,7.92,2,9
ceases,6.5,1,6
centred,6.44,1,7
certain,8.28,1,7
certain is,8.2,2,10
certain of,8.18,2,10
certainly be,7.3,2,12
certainly been,7.36,2,14
certainly do,7.7,2,12
certainly have,8.1,2,14
certainly in,7.57,2,12
certainly is,8.46,2,12
certainly no,7.11,2,12
certainly will,8.17,2,14
certainty,8.57,1,9
certification,7.93,1,13
certified,8.38,1,9
certify,7.88,1,7
chances,3.33,1,7
characterized by,6.38,2,16
checking to see,4.56,3,15
checks are,6.21,2,10
choose to,6.43,2,9
chose,5.73,1,5
circumstances that,5.38,2,18
cited as,6.55,2,8
citing,6.79,1,6
citing the,7.17,2,10
claim,6.25,1,5
claims that,5.11,2,11
clarification,5.04,1,13
clarifications,5.37,1,14
clarifies,7.62,1,9
clarifying,6.25,1,10
clarity,7.48,1,7
classifies,7.13,1,10
clear,7.8,1,5
clear is,7.11,2,8
clear that,7.83,2,10
clearly and,7.42,2,11
clearly been,7.69,2,12
clearly defined,7.63,2,15
clearly has,8.04,2,11
clearly is,8.16,2,10
clearly it,7.52,2,10
clearly show,8.23,2,12
clearly shows,7.85,2,13
clearly stated,7.63,2,14
clearly stated that,8.34,3,19
clearly states,8.33,2,14
close to,5.24,2,8
cognizant,6.96,1,9
combined with,5.57,2,13
come to an,6.4,3,10
come to fruition,6.97,3,16
come to light,6.52,3,13
comes down to it,6.63,4,16
commanded,7.4,1,9
commended,6.83,1,9
commented that,5.63,2,14
commit,6.81,1,6
commitment,7.07,1,10
committed to the,7.3,3,16
committing,7.38,1,10
common sense,6.53,2,12
commonly used,6.28,2,13
compatible with,6.84,2,15
compelled,6.36,1,9
complete,7.83,1,8
complete and,7.5,2,12
completed,8.38,1,9
completed all,7.87,2,13
completed by,7.2,2,12
completely impossible,7.17,2,21
completely out of,7.58,3,17
completely sure,8.12,2,15
completeness,7.6,1,12
completion of the,7.32,3,17
completly,8.54,1,9
complies with,6.74,2,13
comprises,6.6,1,9
compromised,5.37,1,11
concern is that,5.04,3,15
concerning,5.13,1,10
concerns about,4.64,2,14
concerns regarding,4.53,2,18
concise,7.16,1,7
concluded,7.65,1,9
concludes,7.82,1,9
conclusion,8.17,1,10
conclusion of,7.28,2,13
conclusion to,7.2,2,13
conclusions,6.46,1,11
conclusive,8.66,1,10
concur with,6.81,2,11
condemned,6.83,1,9
condemns,6.79,1,8
conducted in,6.83,2,12
confident,7.8,1,9
confident that,7.67,2,14
confirm the,7.59,2,11
confirmations,7.88,1,13
confirmed,7.88,1,9
confirmed a,8,2,11
confirmed as,7.71,2,12
confirmed by,8.1,2,12
confirmed in,7.55,2,12
confirmed that,8.13,2,14
confirmed the,7.26,2,13
confirmed to,8.32,2,12
confirmed to be,7.85,3,15
confirming,6.89,1,10
confirming that,7.64,2,15
confirming the,6.93,2,14
confirms,7.93,1,8
confirms the,7.65,2,12
conflicted,2.48,1,10
confused,1.92,1,8
confusing,1.29,1,9
connection to,5.64,2,13
consensus,7.37,1,9
consent,7.08,1,7
consequences,6.31,1,12
consider as,4.85,2,11
consider that,5.87,2,13
considerably,6.54,1,12
considered as,5.93,2,13
considered this,5.5,2,15
considered to,5.72,2,13
considered to be,5.89,3,16
considered to be the,6.09,4,20
consist of,6.91,2,10
consistency with,6.52,2,16
consistent in,7.13,2,13
consistently been,6.92,2,17
consists,7.08,1,8
constructive,5.76,1,12
contains no,6.53,2,11
contest,5.37,1,7
continues,6.29,1,9
contradicted,4.07,1,12
contributed to,7,2,14
conversion,5.93,1,10
convictions,6.48,1,11
convinced by,6.39,2,12
convinced of,7.4,2,12
convinced that,7.17,2,14
convinces,6.53,1,9
corporation is,5.89,2,14
correct that,6.44,2,12
corrected,7.27,1,9
corresponds,6.77,1,11
could be considered,5.25,3,19
could be used to,5.63,4,16
could help,4.68,2,10
could not,5.96,2,9
could not have been,6.17,4,19
could still,4.38,2,11
could tell,6.43,2,10
couldn't,5.8,1,8
couldn't be,5.4,2,11
count on it,7.3,3,11
course i am,7.7,3,11
covered,7,1,7
creates,6.1,1,7
credible,7.54,1,8
credibly,7.5,1,8
curious,3.24,1,7
curtailed,5.85,1,9
dead,6.6,1,4
dealing,5.93,1,7
debatable,2.72,1,9
decentralized,5.38,1,13
decided,7.7,1,7
decided on,7.76,2,10
decided to,7.29,2,10
decided to put,5.63,3,14
decidedly,8.04,1,9
decides not,6.27,2,11
decides that,6.32,2,12
decision made,7.7,2,13
decision was made,7.76,3,17
decision which,6.43,2,14
decisions have,6.92,2,14
decisive,7.36,1,8
decisively,7.57,1,10
declare,7.83,1,7
declared,8.13,1,8
declared that,7.3,2,13
declares,7.77,1,8
declining,4.96,1,9
decree,6.88,1,6
deduced,6.6,1,7
deem,6.46,1,4
deemed to,6.1,2,9
deemed to be,6.32,3,12
defends,5.68,1,7
defined and,7.33,2,11
defined as,7.52,2,10
defined by,7.08,2,10
defined the,7.57,2,11
definetly,8.6,1,9
definite,8.24,1,8
definition is,7.71,2,13
definitive,8,1,10
degraded,4.65,1,8
deliberately,7.7,1,12
delivers,7.27,1,8
demonstrable,6.48,1,12
demonstrated that,7.67,2,17
demonstrates that,7.04,2,17
demonstrating that,6.97,2,18
denies,6.71,1,6
dependent on the,5.23,3,16
depending,3.94,1,9
depending on whether,2.79,3,20
depends,3,1,7
depends on,3.07,2,10
depends on a,3.63,3,12
derailed,5.64,1,8
derived from,7.03,2,12
despite,5.22,1,7
determined,7.44,1,10
determined by,6.88,2,13
determined that,7.17,2,15
determined to be,7.9,3,16
determining if,3.84,2,14
determining the,6.1,2,15
deviates,5.17,1,8
dictates that,6.94,2,13
did everything,7.04,2,14
did not change,6.4,3,14
did not happen,7,3,14
did not have,5.2,3,12
did not have a,6.47,4,14
