atomicnumber;group;period;symbol;elementname;groupname;color;url;excerpt
1;1;1;Bit;字符\n编码;数据源;#3182bd;https://hidadeng.github.io;文本由字符组成，但文件由字节组成。 这些字节根据某种编码（又名字符集，如gbk、utf-8、ascii）表示字符。 通过选择正确的编码来修复或加载您的数据。
2;1;2;Typ;手工\n敲字;数据源;#6baed6;https://hidadeng.github.io;写程序先小后大，先局部小范围测试，后大规模应用。当在测试代码或演示时，使用您自己的文本会让您更有信心。
3;1;3;Str;导入\n结构\n数据;数据源;#6baed6;https://hidadeng.github.io;结构化数据意味着即用型数据，但您必须解释它的格式样式。
4;1;4;Cor;生成\n语料;数据源;#6baed6;https://hidadeng.github.io;语料库是一种语言资源，由一组结构化的文档和附加信息组成。 它结合了预处理文档及其元数据，这些元数据可能是其他 NLP 任务的输出。
5;1;5;Api;接口\n导入;数据源;#6baed6;https://hidadeng.github.io;API 用作不同应用程序之间的接口。 请求者自动获得对数据的访问权，其好处是源不必知道其他系统是如何工作的。
6;1;6;Scr;网络\n爬虫;数据源;#6baed6;https://hidadeng.github.io;缺少语料库或 API 要求您从网络上抓取文本数据或文件。 请克服 IP 阻塞、cookie 墙、请求标头和 js 网站的挑战。
7;1;7;Ext;文本提取\nOCR扫码;数据源;#6baed6;https://hidadeng.github.io;当您拥有输出格式（PDF 或图像）并且需要将其简化为文本数据的源格式时，提取文本并将其转换为定性数据是一项挑战。
8;2;2;Man;人工\n标注;训练集;#9ecae1;https://hidadeng.github.io;没有人愿意做标注数据的体力劳动。 每个人都想用已标注过的训练数据构建语言模型。
9;2;3;Ann;机器\n标注;训练集;#9ecae1;https://hidadeng.github.io;使用标注工具对原始文本数据进行标注，注意不同类别数据量要保证数据平衡。
10;2;4;Pro;训练\n数据;训练集;#9ecae1;https://hidadeng.github.io;好的数据要包含基本事实， 但请注意数据集是否符合您的目的。
11;2;5;Cro;众包;训练集;#9ecae1;https://hidadeng.github.io;构建训练数据是一项劳动密集型任务。 研究者仔细考究数据的定义，比如需要哪些标注(类别)、如何识别文本的类别，然后通过外包给远程工作人员来扩大规模。
12;2;6;Aug;数据\n增强;训练集;#9ecae1;https://hidadeng.github.io;考虑到效率问题，如可以，尽量先考虑通过现有数据生成需要的数据，而不是去找全新数据。
13;2;7;Rul;规则\n生成\n新数据;训练集;#9ecae1;https://hidadeng.github.io;定义用于标记训练数据的函数的算法规则，通过运行代码构建训练数据集。
